,Mkt-RF,SMB,HML,RMW,CMA,Rf
20140227,0.54,0.08,0.01,-0.24,-0.03,2.60
20140228,0.15,-0.67,0.84,0.44,0.13,2.70
20140303,-0.7,0.09,0.14,0.04,0.11,2.70
20140304,1.67,1.06,-0.12,-0.45,-0.15,2.74
20140305,0.01,-0.22,0.29,-0.57,-0.11,2.80
20140306,0.16,-0.24,0.77,0.32,0.35,2.79
20140307,0.04,-0.01,0.52,0.18,0.31,2.77
20140310,-0.09,-0.07,0.09,0.01,-0.12,2.73
20140311,-0.62,-0.54,-0.19,0.45,-0.03,2.66
20140312,0.13,0.29,-0.17,-0.09,-0.41,2.65
20140313,-1.21,-0.06,0.22,0.18,0.07,2.70
20140314,-0.16,0.68,-0.09,0.19,0.02,2.68
20140317,0.9,-0.36,0.02,0.16,0.06,2.78
20140318,0.82,0.7,-0.39,-0.32,-0.27,2.79
20140319,-0.59,-0.12,0.62,-0.36,0.02,2.75
20140320,0.52,-0.36,1,-0.14,0.3,2.74
20140321,-0.37,-0.17,0.86,0.5,0.41,2.75
20140324,-0.64,-0.77,0.9,0.65,0.37,2.71
20140325,0.3,-0.34,0.15,0.28,0.17,2.69
20140326,-0.89,-1.1,0.24,0.69,0.43,2.73
20140327,-0.19,-0.12,-0.34,0.1,0.01,2.73
20140328,0.41,-0.36,0.55,0.57,0.31,2.77
20140331,0.97,0.99,-0.16,-0.22,0.04,2.82
20140401,0.87,0.65,-0.37,-0.18,-0.29,2.80
20140402,0.29,0.04,0.14,0.08,0.05,2.74
20140403,-0.31,-0.77,0.8,0.56,0.39,2.71
20140404,-1.47,-1.01,0.69,0.63,0.45,2.69
20140407,-1.26,-0.35,-0.07,0.23,0.06,2.71
20140408,0.5,0.27,-0.21,0.02,-0.11,2.65
20140409,1.21,0.23,-0.86,-0.47,-0.49,2.63
20140410,-2.24,-0.61,0.77,0.83,0.71,2.65
20140411,-1.07,-0.38,0.23,0.43,0.03,2.64
20140414,0.7,-0.47,0.2,0.33,-0.16,2.65
20140415,0.59,-0.35,0.2,-0.02,-0.14,2.73
20140416,1.13,0.01,-0.36,-0.05,-0.06,2.73
20140417,0.23,0.31,0.23,-0.19,0.1,2.73
20140421,0.36,0.18,-0.42,0.04,-0.09,2.70
20140422,0.58,0.69,-0.34,-0.69,-0.07,2.70
20140423,-0.31,-0.54,0.91,0.2,0.22,2.68
20140424,0.08,-0.4,-0.18,0.21,-0.18,2.70
20140425,-1.05,-0.88,0.53,0.83,0.66,2.71
20140428,0.11,-0.64,-0.59,1.16,0.02,2.67
20140429,0.56,-0.26,-0.11,-0.56,-0.16,2.63
20140430,0.35,0.22,-0.03,0.08,0.06,2.60
20140501,0.04,-0.18,-0.16,-0.5,-0.15,2.63
20140502,-0.07,0.26,0.41,0.32,0.17,2.61
20140505,0.13,-0.37,-0.54,0.14,-0.26,2.62
20140506,-1.03,-0.5,0.12,0.86,0.13,2.61
20140507,0.45,-0.74,1.1,0.06,0.54,2.62
20140508,-0.26,-0.97,0.38,0.11,0.23,2.66
20140509,0.25,0.64,-0.36,-0.14,-0.07,2.61
20140512,1.2,1.36,-0.25,-0.47,-0.28,2.54
20140513,-0.05,-1.04,0.21,0.01,0,2.50
20140514,-0.6,-1.13,-0.47,0.17,-0.18,2.52
20140515,-0.9,0.32,-0.28,0.21,-0.08,2.54
20140516,0.36,0.23,-0.42,0.19,-0.17,2.52
20140519,0.5,0.63,0.08,-0.33,-0.04,2.54
20140520,-0.78,-0.79,0.23,0.11,-0.13,2.56
20140521,0.81,-0.28,0.1,0.01,-0.15,2.54
20140522,0.36,0.61,-0.26,-0.55,-0.23,2.52
20140523,0.49,0.6,-0.23,-0.11,-0.05,2.44
20140527,0.69,0.66,-0.17,-0.53,-0.28,2.45
20140528,-0.11,-0.26,0.23,0.11,0.13,2.48
20140529,0.54,-0.22,-0.1,-0.05,-0.22,2.54
20140530,0.06,-0.61,0.26,0.34,0.08,2.60
20140602,0.06,-0.65,0.39,0.15,0.16,2.61
20140603,-0.05,-0.23,0.16,0.09,-0.16,2.59
20140604,0.28,0.24,-0.08,-0.19,-0.18,2.60
20140605,0.77,1.29,-0.17,-0.18,-0.12,2.62
20140606,0.54,0.48,-0.01,-0.13,-0.11,2.64
