PERMNO,date,TICKER,COMNAM,PRC,RET,CFACPR
59408,20161026,BAC,BANK OF AMERICA CORP,16.87000,0.008971,1
59408,20161027,BAC,BANK OF AMERICA CORP,16.91000,0.002371,1
59408,20161028,BAC,BANK OF AMERICA CORP,16.68000,-0.013601,1
59408,20161031,BAC,BANK OF AMERICA CORP,16.50000,-0.010791,1
59408,20161101,BAC,BANK OF AMERICA CORP,16.61000,0.006667,1
59408,20161102,BAC,BANK OF AMERICA CORP,16.48000,-0.007827,1
59408,20161103,BAC,BANK OF AMERICA CORP,16.48000,0.000000,1
59408,20161104,BAC,BANK OF AMERICA CORP,16.55000,0.004248,1
59408,20161107,BAC,BANK OF AMERICA CORP,17.01000,0.027795,1
59408,20161108,BAC,BANK OF AMERICA CORP,17.00000,-0.000588,1
59408,20161109,BAC,BANK OF AMERICA CORP,17.97000,0.057059,1
59408,20161110,BAC,BANK OF AMERICA CORP,18.76000,0.043962,1
59408,20161111,BAC,BANK OF AMERICA CORP,19.02000,0.013859,1
59408,20161114,BAC,BANK OF AMERICA CORP,20.08000,0.055731,1
59408,20161115,BAC,BANK OF AMERICA CORP,20.16000,0.003984,1
59408,20161116,BAC,BANK OF AMERICA CORP,19.75000,-0.020337,1
59408,20161117,BAC,BANK OF AMERICA CORP,20.08000,0.016709,1
59408,20161118,BAC,BANK OF AMERICA CORP,20.00000,-0.003984,1
59408,20161121,BAC,BANK OF AMERICA CORP,20.33000,0.016500,1
59408,20161122,BAC,BANK OF AMERICA CORP,20.30000,-0.001476,1
59408,20161123,BAC,BANK OF AMERICA CORP,20.56000,0.012808,1
59408,20161125,BAC,BANK OF AMERICA CORP,20.86000,0.014591,1
59408,20161128,BAC,BANK OF AMERICA CORP,20.30000,-0.026846,1
59408,20161129,BAC,BANK OF AMERICA CORP,20.29000,-0.000493,1
59408,20161130,BAC,BANK OF AMERICA CORP,21.12000,0.044603,1
59408,20161201,BAC,BANK OF AMERICA CORP,21.50000,0.017992,1
59408,20161202,BAC,BANK OF AMERICA CORP,21.23000,-0.012558,1
59408,20161205,BAC,BANK OF AMERICA CORP,21.84000,0.028733,1
59408,20161206,BAC,BANK OF AMERICA CORP,22.16000,0.014652,1
59408,20161207,BAC,BANK OF AMERICA CORP,22.57000,0.018502,1
59408,20161208,BAC,BANK OF AMERICA CORP,22.95000,0.016837,1
59408,20161209,BAC,BANK OF AMERICA CORP,23.09000,0.006100,1
59408,20161212,BAC,BANK OF AMERICA CORP,22.61000,-0.020788,1
59408,20161213,BAC,BANK OF AMERICA CORP,22.61000,0.000000,1
59408,20161214,BAC,BANK OF AMERICA CORP,22.67000,0.002654,1
59408,20161215,BAC,BANK OF AMERICA CORP,23.16000,0.021614,1
59408,20161216,BAC,BANK OF AMERICA CORP,22.66000,-0.021589,1
59408,20161219,BAC,BANK OF AMERICA CORP,22.48000,-0.007944,1
59408,20161220,BAC,BANK OF AMERICA CORP,22.71000,0.010231,1
59408,20161221,BAC,BANK OF AMERICA CORP,22.63000,-0.003523,1
59408,20161222,BAC,BANK OF AMERICA CORP,22.54000,-0.003977,1
59408,20161223,BAC,BANK OF AMERICA CORP,22.60000,0.002662,1
59408,20161227,BAC,BANK OF AMERICA CORP,22.61000,0.000442,1
59408,20161228,BAC,BANK OF AMERICA CORP,22.33000,-0.012384,1
59408,20161229,BAC,BANK OF AMERICA CORP,22.00000,-0.014778,1
59408,20161230,BAC,BANK OF AMERICA CORP,22.10000,0.004545,1
59408,20170103,BAC,BANK OF AMERICA CORP,22.53000,0.019457,1
59408,20170104,BAC,BANK OF AMERICA CORP,22.95000,0.018642,1
59408,20170105,BAC,BANK OF AMERICA CORP,22.68000,-0.011765,1
59408,20170106,BAC,BANK OF AMERICA CORP,22.68000,0.000000,1
59408,20170109,BAC,BANK OF AMERICA CORP,22.55000,-0.005732,1
59408,20170110,BAC,BANK OF AMERICA CORP,22.94000,0.017295,1
59408,20170111,BAC,BANK OF AMERICA CORP,23.07000,0.005667,1
59408,20170112,BAC,BANK OF AMERICA CORP,22.92000,-0.006502,1
59408,20170113,BAC,BANK OF AMERICA CORP,23.01000,0.003927,1
